SEVERITYCODE,INC_MONTH,INC_WEEK,INC_DAYOFWEEK,INC_HOUR,cluster_id,WEATHER_Other_Dangerous,WEATHER_Overcast,WEATHER_Raining,WEATHER_Snowing,WEATHER_Unknown,LIGHTCOND_Dark,LIGHTCOND_Dawn,LIGHTCOND_Dusk,LIGHTCOND_Unknown,ROADCOND_Other_Dangerous,ROADCOND_Unknown,ROADCOND_Wet,ADDRTYPE_Intersection
1,1,2,4,16,137,0,0,1,0,0,0,0,1,0,0,0,1,0
1,1,2,2,18,345,0,0,1,0,0,1,0,0,0,0,0,1,0
1,1,3,1,9,138,0,0,0,1,0,0,0,0,0,1,0,0,0
2,1,3,4,7,335,0,1,0,0,0,0,1,0,0,0,0,1,1
1,1,1,5,13,122,0,0,1,0,0,0,0,0,0,0,0,1,0
1,1,3,2,10,388,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,2,3,8,243,0,0,1,0,0,0,0,0,0,0,0,1,1
1,1,2,3,14,127,0,1,0,0,0,0,0,0,0,0,0,0,1
1,1,2,0,7,217,0,0,1,0,0,0,1,0,0,0,0,1,0
1,1,1,6,15,78,0,1,0,0,0,0,0,0,0,0,0,1,0
1,1,3,3,15,51,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,4,3,6,137,0,0,1,0,0,0,1,0,0,0,0,1,0
1,1,5,0,0,282,0,0,1,0,0,1,0,0,0,0,0,1,0
1,1,3,2,13,288,0,0,0,1,0,0,0,0,0,0,0,1,0
2,1,2,0,8,388,0,0,1,0,0,0,0,0,0,0,0,1,1
1,1,2,0,9,393,0,0,1,0,0,0,0,0,0,0,0,1,0
1,1,3,4,8,387,0,1,0,0,0,0,0,0,0,0,0,1,1
1,1,3,1,18,46,0,1,0,0,0,1,0,0,0,0,0,1,0
1,1,2,0,16,156,0,0,1,0,0,1,0,0,0,0,0,1,0
1,1,4,1,10,280,0,0,1,0,0,0,0,0,0,0,0,1,1
1,1,5,4,9,142,0,0,1,0,0,0,0,0,0,0,0,1,0
1,1,3,4,9,229,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,1,6,9,381,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,4,3,12,461,0,0,1,0,0,0,0,0,0,0,0,1,0
1,1,1,2,3,488,0,1,0,0,0,1,0,0,0,0,0,1,1
1,1,4,2,19,463,0,1,0,0,0,1,0,0,0,0,0,1,0
1,1,3,3,14,275,0,1,0,0,0,0,0,0,0,0,0,1,0
2,1,4,2,20,486,0,1,0,0,0,1,0,0,0,0,0,1,1
1,1,4,6,16,44,0,1,0,0,0,1,0,0,0,0,1,0,0
2,1,1,3,14,176,0,0,1,0,0,0,0,0,0,0,0,1,1
2,1,2,0,17,14,0,0,1,0,0,1,0,0,0,0,0,1,1
2,1,2,3,8,466,0,0,1,0,0,0,0,0,0,0,0,1,0
1,1,4,1,8,420,0,1,0,0,0,0,0,0,0,0,0,1,0
1,1,1,3,7,388,0,0,0,0,0,1,0,0,0,0,0,0,1
1,1,2,1,11,411,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1,3,6,18,394,0,0,0,0,0,1,0,0,0,0,0,1,0
1,1,4,5,10,183,0,0,1,0,0,0,0,0,0,0,0,1,0
