SEVERITYCODE,INC_MONTH,INC_WEEK,INC_DAYOFWEEK,INC_HOUR,cluster_id,WEATHER_Other_Dangerous,WEATHER_Overcast,WEATHER_Raining,WEATHER_Snowing,WEATHER_Unknown,LIGHTCOND_Dark,LIGHTCOND_Dawn,LIGHTCOND_Dusk,LIGHTCOND_Unknown,ROADCOND_Other_Dangerous,ROADCOND_Unknown,ROADCOND_Wet,ADDRTYPE_Intersection
1,2,7,1,10,205,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,30,5,21,288,0,0,0,0,0,1,0,0,0,0,0,0,1
2,5,21,4,9,105,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,8,4,15,477,1,0,0,0,0,0,0,0,0,1,0,0,0
1,6,24,3,16,345,0,0,1,0,0,0,0,0,0,0,0,1,0
1,2,9,2,16,275,0,0,1,0,0,0,0,0,0,0,0,1,1
1,4,15,2,14,224,0,0,0,0,0,0,0,0,0,0,0,1,0
2,3,11,5,16,158,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,8,4,12,48,0,0,1,0,0,0,0,0,0,0,0,1,1
1,12,50,0,10,201,0,0,0,0,0,0,0,0,0,0,0,0,1
2,4,17,2,9,468,0,0,0,0,0,0,0,0,0,0,0,0,1
1,6,25,1,17,218,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,34,2,16,355,1,0,0,0,0,0,0,0,0,0,0,0,0
1,4,15,4,9,444,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,40,4,14,434,0,0,1,0,0,0,0,0,0,0,0,1,1
2,1,1,4,12,155,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,20,6,17,203,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,29,4,1,47,0,0,1,0,0,1,0,0,0,0,0,1,1
2,4,14,0,16,174,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,23,3,17,353,0,1,0,0,0,0,0,0,0,0,0,0,0
1,4,16,6,22,425,0,0,0,0,0,1,0,0,0,0,0,0,0
1,12,49,2,18,70,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,2,5,13,466,0,1,0,0,0,0,0,0,0,0,0,0,0
1,7,28,4,14,43,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,6,3,10,379,0,0,1,0,0,0,0,0,0,0,0,1,0
1,3,13,5,4,422,0,0,0,0,0,1,0,0,0,0,0,0,0
1,8,34,4,12,174,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,3,16,167,0,0,0,0,0,0,0,0,0,0,0,1,0
1,5,21,5,17,237,0,0,1,0,0,0,0,0,0,0,0,1,0
1,2,6,4,14,177,0,0,0,1,0,0,0,0,0,1,0,0,0
1,2,5,2,18,419,0,0,0,0,0,1,0,0,0,0,0,0,0
2,11,48,1,12,300,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,42,5,5,180,0,0,0,0,0,1,0,0,0,0,0,0,0
2,1,2,4,8,142,0,1,0,0,0,0,0,0,0,0,0,0,1
2,6,25,4,16,205,0,0,0,0,0,0,0,0,0,0,0,0,1
2,8,35,1,11,438,0,0,0,0,0,0,0,0,0,0,0,0,1
1,11,45,3,16,270,0,0,0,0,0,0,0,1,0,0,0,0,1
2,4,17,6,3,427,0,0,0,0,0,1,0,0,0,0,0,0,0
2,8,35,1,7,445,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,12,1,14,293,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,50,5,4,128,0,0,0,0,0,1,0,0,0,0,0,0,1
1,11,47,0,15,476,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,41,0,4,163,0,0,1,0,0,1,0,0,0,0,0,1,0
1,9,36,1,21,313,0,0,0,0,0,1,0,0,0,0,0,0,1
2,11,45,4,17,55,0,0,0,0,0,1,0,0,0,0,0,0,1
1,4,18,1,16,196,0,0,0,0,0,0,0,0,0,0,0,0,1
1,11,48,3,8,489,0,0,1,0,0,0,0,0,0,0,0,1,0
1,6,23,3,7,288,0,0,0,0,0,0,0,0,0,0,0,0,1
2,12,51,5,19,44,0,0,1,0,0,1,0,0,0,0,0,1,0
1,3,9,3,14,43,0,1,0,0,0,0,0,0,0,0,0,1,0
1,9,37,6,4,330,0,0,1,0,0,1,0,0,0,0,0,1,0
1,11,45,5,7,86,0,0,1,0,0,0,1,0,0,0,0,1,0
1,1,2,5,10,426,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,10,3,8,241,0,0,0,0,0,0,0,0,0,0,0,1,0
1,5,18,4,10,153,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,12,1,17,43,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,28,4,9,243,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,19,4,7,303,0,0,0,0,0,0,0,0,1,0,0,0,0
2,2,6,2,15,246,0,0,0,0,1,0,0,0,1,0,1,0,1
1,8,34,3,23,328,0,0,0,0,0,1,0,0,0,0,0,0,0
1,3,10,4,9,466,0,1,0,0,0,0,0,0,0,0,0,1,1
2,8,32,4,12,130,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9,37,0,8,387,0,1,0,0,0,0,0,0,0,0,0,0,1
1,9,39,3,10,230,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,6,2,15,238,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11,48,1,18,258,0,0,1,0,0,1,0,0,0,0,0,1,0
1,1,3,1,12,121,0,0,1,0,0,0,0,0,0,0,0,1,0
1,10,40,4,21,417,0,1,0,0,0,1,0,0,0,0,0,1,0
2,8,34,4,17,226,0,0,0,0,0,0,0,0,0,0,0,0,1
2,11,46,3,17,15,0,0,0,0,0,1,0,0,0,0,0,0,0
1,9,36,3,8,367,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,11,4,7,62,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,5,2,8,373,0,0,0,0,0,0,0,0,0,1,0,0,0
2,11,46,4,20,345,0,0,0,0,0,1,0,0,0,0,0,0,0
1,8,34,6,20,452,0,0,1,0,0,1,0,0,0,0,0,1,1
1,10,42,1,11,7,0,1,0,0,0,0,0,0,0,0,0,0,1
1,12,52,0,9,277,0,0,0,0,1,0,0,0,0,0,0,1,0
1,7,28,6,15,465,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11,45,4,7,160,0,0,0,0,0,0,0,0,0,0,0,0,1
2,10,42,5,0,230,0,0,1,0,0,1,0,0,0,0,0,1,0
1,12,50,2,23,270,0,0,0,0,0,1,0,0,0,0,0,0,0
1,10,41,5,8,393,0,0,0,0,1,0,0,0,1,0,1,0,0
1,8,33,0,9,439,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,50,3,10,270,0,1,0,0,0,0,0,0,0,0,0,0,0
1,12,50,0,11,400,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2,8,4,14,287,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9,36,1,16,253,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11,47,3,10,449,0,0,0,0,0,0,0,0,0,0,0,0,1
1,11,45,3,10,172,0,0,1,0,0,0,0,0,0,0,0,1,0
2,5,22,4,21,120,0,0,0,0,0,0,0,1,0,0,0,0,0
1,10,40,3,10,288,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,7,3,15,298,0,1,0,0,0,0,0,0,0,0,0,0,0
2,9,36,6,23,161,0,0,1,0,0,1,0,0,0,0,0,1,0
1,2,6,4,6,352,0,0,0,0,0,1,0,0,0,0,0,0,0
2,11,44,6,10,457,0,0,1,0,0,0,0,0,0,0,0,1,0
1,12,50,3,3,477,0,0,0,0,1,0,0,0,1,0,1,0,0
1,11,46,4,21,360,0,0,0,0,0,1,0,0,0,0,0,0,0
