SEVERITYCODE,X,Y,WEATHER,LIGHTCOND,ROADCOND,INC_YEAR,INC_MONTH,INC_WEEK,INC_DAYOFWEEK,INC_HOUR,ADDRTYPE,cluster_id
1,-122.3454233,47.51730344,Overcast,Daylight,Wet,2017,5,18,0,12,Intersection,237
1,-122.2790134,47.52611725,Clear,Daylight,Dry,2018,5,18,3,18,Intersection,426
1,-122.3213292,47.71222006,Clear,Dark - Street Lights On,Dry,2018,3,9,3,22,Block,139
1,-122.2851938,47.54974192,Clear,Daylight,Dry,2017,7,30,1,8,Block,3
1,-122.3371369,47.61070944,Clear,Daylight,Dry,2017,10,41,6,13,Block,128
1,-122.3048885,47.61528946,Raining,Daylight,Dry,2018,4,15,2,9,Intersection,309
2,-122.3079367,47.54698098,Clear,Daylight,Dry,2018,5,19,4,19,Intersection,320
1,-122.340683,47.61344689,Clear,Daylight,Dry,2017,8,34,6,14,Block,128
1,-122.296314,47.71928489,Clear,Daylight,Dry,2017,7,29,1,8,Intersection,11
1,-122.35392079999998,47.56117917,Overcast,Daylight,Wet,2017,12,52,3,12,Intersection,310
2,-122.3623578,47.62185645,Clear,Daylight,Dry,2017,7,30,0,10,Block,175
1,-122.2846295,47.55704112,Overcast,Daylight,Wet,2018,2,7,2,8,Intersection,325
1,-122.35002040000002,47.61218693,Clear,Daylight,Dry,2018,5,19,0,17,Block,307
1,-122.3224332,47.60553718,Unknown,Unknown,Unknown,2018,1,1,1,7,Block,24
1,-122.3312436,47.60678479,Clear,Daylight,Dry,2018,3,12,3,16,Block,486
2,-122.2821032,47.54971188,Clear,Dark - Street Lights On,Dry,2017,6,25,1,3,Block,3
