SEVERITYCODE,X,Y,INC_YEAR,INC_MONTH,INC_WEEK,INC_DAYOFWEEK,INC_HOUR,cluster_id,WEATHER_Other_Dangerous,WEATHER_Overcast,WEATHER_Raining,WEATHER_Snowing,WEATHER_Unknown,LIGHTCOND_Dark,LIGHTCOND_Dawn,LIGHTCOND_Dusk,LIGHTCOND_Unknown,ROADCOND_Other_Dangerous,ROADCOND_Unknown,ROADCOND_Wet,ADDRTYPE_Intersection
2,-122.3231111,47.59583224,2018,7,28,3,15,288,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-122.3762222,47.66121143,2017,8,35,1,17,295,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-122.30161409999998,47.70437186,2018,5,22,2,13,110,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-122.32637379999998,47.59583727,2017,6,26,3,12,46,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-122.3757024,47.65393223,2017,5,19,4,16,292,0,1,0,0,0,0,0,0,0,0,0,0,1
2,-122.3497555,47.64651291,2017,10,42,4,10,80,0,0,1,0,0,0,0,0,0,0,0,1,0
1,-122.3342033,47.57498194,2017,6,25,0,6,487,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-122.33223000000001,47.59920184,2018,5,18,5,22,212,0,0,0,0,0,1,0,0,0,0,0,0,0
2,-122.3331044,47.68690246,2017,6,22,5,19,105,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-122.35964059999999,47.54471615,2017,10,40,6,20,458,0,0,0,0,0,1,0,0,0,0,0,0,0
1,-122.3290775,47.57142087,2017,7,29,2,11,216,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-122.30554070000001,47.58550389,2018,6,26,2,16,428,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-122.2882922,47.55160251,2018,1,4,1,23,203,0,0,1,0,0,1,0,0,0,0,0,1,0
1,-122.3283173,47.59919591,2018,3,9,3,21,142,0,0,0,0,0,1,0,0,0,0,0,0,0
2,-122.30734440000002,47.73389063,2017,6,25,4,10,477,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-122.3289908,47.54549572,2017,12,52,2,7,336,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-122.33068899999999,47.60701684,2018,2,7,2,12,486,0,1,0,0,0,0,0,0,0,0,0,1,1
1,-122.31341909999999,47.56055995,2017,6,24,0,7,125,0,0,0,0,0,0,0,0,0,0,0,0,1
2,-122.3141596,47.66943836,2018,5,18,1,20,266,0,0,0,0,0,1,0,0,0,0,0,0,1
1,-122.3350596,47.62461807,2017,4,16,6,21,111,0,0,1,0,0,1,0,0,0,0,0,1,0
2,-122.312648,47.71850674,2018,8,32,0,11,475,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-122.3513564,47.65148486,2018,6,24,2,13,394,0,0,0,0,1,0,0,0,0,0,1,0,1
2,-122.34942350000001,47.55569473,2018,7,28,5,0,310,0,0,0,0,0,1,0,0,0,0,0,0,0
1,-122.33127820000001,47.604305,2017,1,4,2,13,486,0,0,1,0,0,0,0,0,0,0,0,1,0
1,-122.32458559999999,47.60956945,2017,4,15,0,17,466,0,0,0,0,1,0,0,0,1,0,1,0,0
1,-122.33759199999999,47.61120737,2017,5,21,1,16,128,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-122.32386899999999,47.593117799999995,2018,2,9,0,9,476,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-122.360238,47.66597696,2017,6,23,3,6,170,0,0,1,0,0,0,0,0,0,0,0,1,0
1,-122.3334501,47.54664079,2017,4,14,6,15,63,0,1,0,0,0,0,0,0,0,0,0,0,0
2,-122.33823829999999,47.55576875,2018,5,22,3,9,48,0,0,0,0,0,0,0,0,0,0,0,0,1
